STT,Tên/Tên hiển thị,Kênh nguồn,Link nguồn,Khu vực/Dự án,Phân khúc & giá,Đang active (tin gần nhất),Trạng thái outreach,Ngày nhắn,Ngày kích hoạt (dùng tool),Quay lại tuần 2? (Y/N),Match tạo được?,"Sẽ trả tiền? (Y/N/note)",Referral từ ai,Ghi chú
1,[VÍ DỤ — thay bằng dữ liệu thật],FB group,https://facebook.com/groups/...,Bình Thạnh - P.25,Nhà phố 3-4 tỷ,Đăng hôm nay,chưa liên hệ,,,,,,,Đăng nhiều tin/ngày → nghi là môi giới active
2,[VÍ DỤ],Chợ Tốt,https://nha.chotot.com/...,Bình Thạnh,Căn hộ 3-4 tỷ,2 ngày trước,đã nhắn,2026-08-05,,,,,,Rep nhanh trên comment
3,,,,,,,chưa liên hệ,,,,,,,
4,,,,,,,chưa liên hệ,,,,,,,
5,,,,,,,chưa liên hệ,,,,,,,
6,,,,,,,chưa liên hệ,,,,,,,
7,,,,,,,chưa liên hệ,,,,,,,
8,,,,,,,chưa liên hệ,,,,,,,
9,,,,,,,chưa liên hệ,,,,,,,
10,,,,,,,chưa liên hệ,,,,,,,
11,,,,,,,chưa liên hệ,,,,,,,
12,,,,,,,chưa liên hệ,,,,,,,
13,,,,,,,chưa liên hệ,,,,,,,
14,,,,,,,chưa liên hệ,,,,,,,
15,,,,,,,chưa liên hệ,,,,,,,
16,,,,,,,chưa liên hệ,,,,,,,
17,,,,,,,chưa liên hệ,,,,,,,
18,,,,,,,chưa liên hệ,,,,,,,
19,,,,,,,chưa liên hệ,,,,,,,
20,,,,,,,chưa liên hệ,,,,,,,
21,,,,,,,chưa liên hệ,,,,,,,
22,,,,,,,chưa liên hệ,,,,,,,
23,,,,,,,chưa liên hệ,,,,,,,
24,,,,,,,chưa liên hệ,,,,,,,
25,,,,,,,chưa liên hệ,,,,,,,
26,,,,,,,chưa liên hệ,,,,,,,
27,,,,,,,chưa liên hệ,,,,,,,
28,,,,,,,chưa liên hệ,,,,,,,
29,,,,,,,chưa liên hệ,,,,,,,
30,,,,,,,chưa liên hệ,,,,,,,
